SYMBOL,2023-09-01,2023-01-03,2022-09-15,2023-09-15
DIVISLAB,3589.3,3393.0,3605.45,3815.5
DIVOPPBEES,56.1,47.8,46.32,58.47
DIXON,5057.25,3922.15,4584.4,5059.0
DJML,153.9,152.65,,150.35
DLF,503.25,380.05,411.0,532.4
DLINKINDIA,326.4,227.5,191.2,331.2
DMART,3761.05,4060.9,4525.85,3796.0
DMCC,352.6,288.15,,321.55
DNAMEDIA,3.05,3.45,4.0,3.1
DODLA,739.1,505.1,531.55,699.7
DOLATALGO,50.45,63.9,72.85,48.9
DOLLAR,434.9,426.15,541.1,444.0
DONEAR,104.7,93.05,60.45,109.3
DPABHUSHAN,491.0,290.0,410.9,546.5
DPSCLTD,14.8,13.2,14.9,16.55
DPWIRES,676.35,422.4,433.6,655.85
DRCSYSTEMS,43.35,,,38.3
DREAMFOLKS,507.1,373.1,409.15,494.5
DREDGECORP,514.55,389.05,319.5,495.9
DRREDDY,5578.55,4238.35,4169.0,5819.5
DSPBANKETF,44.75,,,46.89
DSPGOLDETF,59.15,,,58.7
DSPITETF,31.35,,,33.36
DSPN50ETF,198.12,184.34,181.45,205.21
DSPNEWETF,235.55,210.01,209.01,244.17
DSPPSBKETF,45.3,,,50.5
DSPPVBKETF,23.41,,,23.98
DSPQ50ETF,192.25,162.91,175.11,194.63
DSPSENXETF,65.44,,,68.0
DSPSILVETF,73.7,69.7,56.13,71.06
DSSL,726.95,349.75,309.1,695.2
DTIL,213.8,232.6,219.35,229.7
DVL,259.8,242.25,253.3,270.25
DWARKESH,90.0,105.4,103.4,103.65
DYNAMATECH,3863.9,2456.2,2393.25,3865.05
DYNPRO,390.65,318.25,322.2,359.8
EASEMYTRIP,40.8,53.15,392.8,39.95
EBBETF0425,1148.93,1097.5,1084.69,1152.89
EBBETF0430,1295.66,1233.97,1221.35,1301.15
EBBETF0431,1156.27,1104.54,1092.47,1158.43
EBBETF0433,1053.31,1005.44,,1055.78
ECLERX,1624.75,1278.55,2303.4,1850.95
EDELWEISS,54.35,64.25,68.1,54.5
EICHERMOT,3400.4,3213.45,3622.25,3427.2
EIDPARRY,477.1,575.8,595.35,562.3
EIFFL,143.55,171.3,156.8,147.0
EIHAHOTELS,493.9,428.85,461.75,480.45
EIHOTEL,272.25,179.15,181.4,236.65
EKC,118.0,100.5,123.1,126.5
ELDEHSG,728.85,596.55,661.85,711.25
ELECON,900.45,373.15,389.45,761.25
ELECTCAST,68.6,39.2,37.45,65.95
ELGIEQUIP,493.4,410.25,524.85,520.05
ELGIRUBCO,50.05,35.95,37.9,57.45
ELIN,176.85,226.25,,165.3
EMAMILTD,535.6,429.75,515.55,547.7
EMAMIPAP,132.4,145.15,185.45,139.7
EMAMIREAL,80.3,82.9,76.2,84.45
EMKAY,88.35,77.0,88.0,85.5
EMMBI,88.65,97.2,103.55,109.25
EMUDHRA,498.1,309.7,322.15,492.15
ENDURANCE,1659.6,1381.3,1504.1,1621.3
ENERGYDEV,17.65,19.45,22.5,20.1
ENGINERSIN,157.75,80.1,69.7,153.15
ENIL,156.35,155.05,173.95,148.85
EPL,195.9,169.6,172.75,198.6
EQUITASBNK,88.8,59.35,50.9,85.65
ERIS,812.35,661.25,699.55,821.7
EROSMEDIA,18.1,28.25,,18.8
ESABINDIA,5400.05,4253.05,3443.15,5145.35
ESCORTS,3133.9,2166.8,2000.6,3151.95
ESG,31.78,,,32.92
ESTER,95.75,132.95,176.45,94.1
ETHOSLTD,1654.85,1015.25,1035.85,1728.8
EVEREADY,420.15,355.55,336.25,405.1
EVERESTIND,1210.05,773.7,686.1,1112.05
EXCELINDUS,947.75,1149.3,1462.15,912.9
EXIDEIND,265.75,180.9,173.45,268.25
EXPLEOSOL,1356.45,1188.4,1364.0,1426.05
EXXARO,144.2,122.25,113.6,139.15
FACT,467.2,337.0,122.95,566.8
FAIRCHEMOR,1144.65,1301.45,2005.35,1156.95
FAZE3Q,395.7,278.35,,380.4
FCL,313.15,252.1,362.75,326.45
FCSSOFT,2.3,2.8,3.15,2.75
FDC,380.4,274.05,280.35,372.85
FEDERALBNK,143.8,137.75,122.05,148.25
FIBERWEB,30.75,36.2,39.6,32.55
FIEMIND,2004.65,1739.85,1728.25,1827.1
FILATEX,48.85,45.85,108.9,46.45
FINCABLES,1093.4,560.85,476.45,1114.65
FINEORG,4817.4,5646.85,6979.1,4989.8
FINOPB,355.55,247.5,279.35,344.5
FINPIPE,248.05,188.85,145.35,226.05
FIVESTAR,728.25,627.5,,687.55
FLUOROCHEM,3073.55,3100.3,3611.65,3125.4
FMGOETZE,364.0,314.1,301.1,369.45
FMNL,6.75,5.8,5.7,
FOCUS,770.2,311.35,140.55,803.5
FOODSIN,183.75,,82.9,171.4
FORCEMOT,3496.55,1499.35,1385.7,3780.15
FORTIS,324.4,283.6,306.55,330.5
FOSECOIND,3642.35,1933.9,1968.1,3425.1
FSL,167.8,103.9,113.0,169.4
FUSION,623.3,396.0,,616.15
GABRIEL,318.0,190.85,163.95,317.55
GAEL,260.65,253.4,286.45,290.35
GAIL,121.35,96.8,91.2,123.85
