SYMBOL,momentum_total
ACI,30.498
SIYSIL,30.497
SRHHYPOLTD,30.496
FUSION,30.495
PITTIENG,30.495
BRIGADE,30.492
PRESTIGE,30.492
IGARASHI,30.491
GPIL,30.489
UNOMINDA,30.489
RPSGVENT,30.484
WONDERLA,30.483
TATAMOTORS,30.481
SEAMECLTD,30.481
UPL,30.480
CARYSIL,30.479
ATGL,30.479
DEEPAKFERT,30.478
ISEC,30.477
AARTISURF,30.475
HDFCLIFE,30.473
AMRUTANJAN,30.473
GLS,30.472
ZYDUSLIFE,30.472
STARHEALTH,30.471
AMARAJABAT,30.469
GNFC,30.468
KRSNAA,30.467
INFRABEES,30.467
JKLAKSHMI,30.466
DPWIRES,30.465
KPIL,30.461
KEC,30.461
BFUTILITIE,30.460
LOYALTEX,30.460
GMBREW,30.459
JINDALPOLY,30.458
LICI,30.456
CENTURYPLY,30.455
MAGADSUGAR,30.454
SOBHA,30.452
CCL,30.452
MEDICAMEQ,30.450
CYIENTDLM,30.448
COSMOFIRST,30.448
REFEX,30.445
WSTCSTPAPR,30.444
GANDHITUBE,30.444
FIVESTAR,30.443
AVADHSUGAR,30.443
RKFORGE,30.442
VIPIND,30.441
BARBEQUE,30.440
SOMANYCERA,30.440
IRCTC,30.438
KKCL,30.437
APOLLOPIPE,30.435
DODLA,30.435
MEDANTA,30.434
SANGHVIMOV,30.431
ACE,30.431
INDIAGLYCO,30.430
SHOPERSTOP,30.430
ELDEHSG,30.428
JINDALSTEL,30.428
AGI,30.427
SJS,30.426
LINC,30.425
INTELLECT,30.424
CONCOR,30.424
JUSTDIAL,30.424
BERGEPAINT,30.423
PNBHOUSING,30.423
NESCO,30.423
AHLUCONT,30.422
PRINCEPIPE,30.422
STEELCAS,30.421
TORNTPOWER,30.420
KPRMILL,30.420
SHIVALIK,30.417
UTISENSETF,30.416
YUKEN,30.416
AUBANK,30.415
ISGEC,30.413
VRLLOG,30.413
GUJALKALI,30.410
HDFCSENSEX,30.408
NOVARTIND,30.405
DHUNINV,30.404
ICICISENSX,30.403
ALBERTDAVD,30.400
PARAS,30.400
ELECON,30.399
CGCL,30.396
RHIM,30.395
POLICYBZR,30.394
MONTECARLO,30.393
CONTROLPR,30.392
GOKEX,30.392
SHANKARA,30.391
TITAGARH,30.390
CANFINHOME,30.389
TCI,30.387
APLLTD,30.387
UTIAMC,30.387
TTKPRESTIG,30.386
HMAAGRO,30.385
LANDMARK,30.384
BLUESTARCO,30.382
LODHA,30.382
SPORTKING,30.380
WHEELS,30.380
MEDPLUS,30.376
IMPAL,30.376
PSPPROJECT,30.375
REPRO,30.375
CIGNITITEC,30.375
KIRLOSBROS,30.374
JSWSTEEL,30.374
RBL,30.373
NETWEB,30.372
ERIS,30.370
ROSSARI,30.367
OCCL,30.366
TATASTLLP,30.364
SYNGENE,30.364
NAZARA,30.363
GESHIP,30.363
SBICARD,30.362
ATFL,30.362
MKPL,30.361
GRSE,30.359
DHANUKA,30.359
ADANIPORTS,30.359
ADANIENSOL,30.359
HOMEFIRST,30.357
CARERATING,30.356
MOTILALOFS,30.356
TEJASNET,30.354
KPIGREEN,30.354
GLENMARK,30.354
SHAKTIPUMP,30.354
ALICON,30.349
NEWGEN,30.348
TATACONSUM,30.346
MASFIN,30.345
NATCOPHARM,30.344
PAYTM,30.343
DIAMONDYD,30.342
RELAXO,30.340
VOLTAS,30.339
RAMCOCEM,30.339
AUROPHARMA,30.338
RML,30.337
AGARIND,30.337
SYMPHONY,30.336
EXCELINDUS,30.332
VBL,30.331
MMFL,30.330
IPCALAB,30.326
GLOBUSSPR,30.325
BHARTIARTL,30.324
MFSL,30.324
ANURAS,30.322
MOLDTKPAC,30.322
IFBIND,30.320
BECTORFOOD,30.320
SUMMITSEC,30.317
DIVGIITTS,30.317
TEGA,30.316
TALBROAUTO,30.316
PGIL,30.315
SANSERA,30.314
RIIL,30.312
AETHER,30.309
TATAMETALI,30.309
HGINFRA,30.308
WESTLIFE,30.308
IDEAFORGE,30.306
SURYAROSNI,30.305
ICICIBANK,30.305
SHARDAMOTR,30.304
LIQUIDBEES,30.303
ICICILIQ,30.303
HDFCLIQUID,30.303
LIQUID,30.303
LIQUIDETF,30.303
GODREJCP,30.302
ADANIGREEN,30.301
GANECOS,30.301
EPIGRAL,30.301
CONCORDBIO,30.299
HGS,30.297
NUCLEUS,30.297
AXISBANK,30.295
RAINBOW,30.295
DCMSHRIRAM,30.292
SANDESH,30.291
MALLCOM,30.291
CAPLIPOINT,30.290
MCDOWELL-N,30.289
LGBBROSLTD,30.289
MGL,30.288
SASKEN,30.287
EBBETF0433,30.287
MAITHANALL,30.286
TANLA,30.285
BDL,30.285
TATACHEM,30.283
PEL,30.283
BBETF0432,30.279
METROBRAND,30.279
STYRENIX,30.278
SONATSOFTW,30.278
CENTURYTEX,30.277
ADORWELD,30.276
PIXTRANS,30.273
AFFLE,30.273
COCHINSHIP,30.273
EVERESTIND,30.272
SFL,30.272
NH,30.272
FINCABLES,30.272
CANTABIL,30.270
BHARATFORG,30.267
PUNJABCHEM,30.266
COROMANDEL,30.266
SUNPHARMA,30.263
LUPIN,30.263
CHOLAHLDNG,30.263
EBBETF0425,30.262
FAIRCHEMOR,30.262
EBBETF0431,30.261
PRUDENT,30.261
TTKHLTCARE,30.260
POLYPLEX,30.259
KPITTECH,30.259
OBEROIRLTY,30.258
CHEVIOT,30.255
HATSUN,30.255
CARBORUNIV,30.254
RANEHOLDIN,30.251
BIRLACORPN,30.249
BBTC,30.249
